number_of_gallons,new_water_rates,WATER CONSUMPTION CHARGE BILLED
2,12.70,14.68
3,6.35,22.03
4,6.35,29.37
5,6.35,36.71
6,6.35,44.05
7,7.30,52.34
8,7.30,60.64
9,7.30,68.93
10,7.30,77.22
11,7.30,85.51
12,7.30,93.80
13,7.30,102.10
14,7.30,110.39
15,7.30,118.68
16,7.95,127.62
17,7.95,136.56
18,7.95,145.51
19,7.95,154.45
20,7.95,163.39
21,7.95,172.33
22,7.95,181.27
23,7.95,190.22
24,7.95,199.16
25,7.95,208.10
26,7.95,217.04
27,7.95,225.98
28,7.95,234.93
29,7.95,243.87
30,7.95,252.81
31,7.95,261.75
32,7.95,270.69
33,7.95,279.64
34,7.95,288.58
35,7.95,297.52
36,7.95,306.46
37,7.95,315.40
38,7.95,324.35
39,7.95,333.29
40,7.95,342.23
41,7.95,351.17
42,7.95,360.11
43,7.95,369.06
44,7.95,378.00
45,7.95,386.94
46,7.95,395.88
47,7.95,404.82
48,7.95,413.77
49,7.95,422.71
50,7.95,431.65
51,7.95,440.59
52,7.95,449.53
53,7.95,458.48
54,7.95,467.42
55,7.95,476.36
56,7.95,485.30
57,7.95,494.24
58,7.95,503.19
59,7.95,512.13
60,7.95,521.07
61,7.95,530.01
62,7.95,538.95
63,7.95,547.90
64,7.95,556.84
65,7.95,565.78
66,7.95,574.72
67,7.95,583.66
68,7.95,592.61
69,7.95,601.55
70,7.95,610.49
71,7.95,619.43
72,7.95,628.37
73,7.95,637.32
74,7.95,646.26
75,7.95,655.20
76,7.95,664.14
77,7.95,673.08
78,7.95,682.03
79,7.95,690.97
80,7.95,699.91
81,7.95,708.85
82,7.95,717.79
83,7.95,726.74
84,7.95,735.68
85,7.95,744.62
86,7.95,753.56
87,7.95,762.50
88,7.95,771.45
89,7.95,780.39
90,7.95,789.33
91,7.95,798.27
92,7.95,807.21
93,7.95,816.16
94,7.95,825.10
95,7.95,834.04
96,7.95,842.98
97,7.95,851.92
98,7.95,860.87
99,7.95,869.81
100,7.95,878.75
