number_of_gallons,new_water_rates,WATER CONSUMPTION CHARGE BILLED
2,19.05,21.03
3,6.35,28.38
4,6.35,35.72
5,6.35,43.06
6,6.35,50.40
7,7.30,58.69
8,7.30,66.99
9,7.30,75.28
10,7.30,83.57
11,7.30,91.86
12,7.30,100.15
13,7.30,108.45
14,7.30,116.74
15,7.30,125.03
16,7.95,133.97
17,7.95,142.91
18,7.95,151.86
19,7.95,160.80
20,7.95,169.74
21,7.95,178.68
22,7.95,187.62
23,7.95,196.57
24,7.95,205.51
25,7.95,214.45
26,7.95,223.39
27,7.95,232.33
28,7.95,241.28
29,7.95,250.22
30,7.95,259.16
31,7.95,268.10
32,7.95,277.04
33,7.95,285.99
34,7.95,294.93
35,7.95,303.87
36,7.95,312.81
37,7.95,321.75
38,7.95,330.70
39,7.95,339.64
40,7.95,348.58
41,7.95,357.52
42,7.95,366.46
43,7.95,375.41
44,7.95,384.35
45,7.95,393.29
46,7.95,402.23
47,7.95,411.17
48,7.95,420.12
49,7.95,429.06
50,7.95,438.00
51,7.95,446.94
52,7.95,455.88
53,7.95,464.83
54,7.95,473.77
55,7.95,482.71
56,7.95,491.65
57,7.95,500.59
58,7.95,509.54
59,7.95,518.48
60,7.95,527.42
61,7.95,536.36
62,7.95,545.30
63,7.95,554.25
64,7.95,563.19
65,7.95,572.13
66,7.95,581.07
67,7.95,590.01
68,7.95,598.96
69,7.95,607.90
70,7.95,616.84
71,7.95,625.78
72,7.95,634.72
73,7.95,643.67
74,7.95,652.61
75,7.95,661.55
76,7.95,670.49
77,7.95,679.43
78,7.95,688.38
79,7.95,697.32
80,7.95,706.26
81,7.95,715.20
82,7.95,724.14
83,7.95,733.09
84,7.95,742.03
85,7.95,750.97
86,7.95,759.91
87,7.95,768.85
88,7.95,777.80
89,7.95,786.74
90,7.95,795.68
91,7.95,804.62
92,7.95,813.56
93,7.95,822.51
94,7.95,831.45
95,7.95,840.39
96,7.95,849.33
97,7.95,858.27
98,7.95,867.22
99,7.95,876.16
100,7.95,885.10
