number_of_gallons,new_water_rates,WATER CONSUMPTION CHARGE BILLED
2,32.60,32.60
3,3.25,35.85
4,3.25,39.10
5,3.25,42.35
6,3.25,45.60
7,4.85,50.45
8,4.85,55.30
9,4.85,60.15
10,4.85,65.00
11,4.85,69.85
12,4.85,74.70
13,4.85,79.55
14,4.85,84.40
15,4.85,89.25
16,7.25,96.50
17,7.25,103.75
18,7.25,111.00
19,7.25,118.25
20,7.25,125.50
21,7.25,132.75
22,7.25,140.00
23,7.25,147.25
24,7.25,154.50
25,7.25,161.75
26,7.25,161.75
27,7.25,161.75
28,7.25,161.75
29,7.25,161.75
30,7.25,161.75
31,7.25,161.75
32,7.25,161.75
33,7.25,161.75
34,7.25,161.75
35,7.25,161.75
36,7.25,161.75
37,7.25,161.75
38,7.25,161.75
39,7.25,161.75
40,7.25,161.75
41,7.25,161.75
42,7.25,161.75
43,7.25,161.75
44,7.25,161.75
45,7.25,161.75
46,7.25,161.75
47,7.25,161.75
48,7.25,161.75
49,7.25,161.75
50,7.25,161.75
51,7.25,161.75
52,7.25,161.75
53,7.25,161.75
54,7.25,161.75
55,7.25,161.75
56,7.25,161.75
57,7.25,161.75
58,7.25,161.75
59,7.25,161.75
60,7.25,161.75
61,7.25,161.75
62,7.25,161.75
63,7.25,161.75
64,7.25,161.75
65,7.25,161.75
66,7.25,161.75
67,7.25,161.75
68,7.25,161.75
69,7.25,161.75
70,7.25,161.75
71,7.25,161.75
72,7.25,161.75
73,7.25,161.75
74,7.25,161.75
75,7.25,161.75
76,7.25,161.75
77,7.25,161.75
78,7.25,161.75
79,7.25,161.75
80,7.25,161.75
81,7.25,161.75
82,7.25,161.75
83,7.25,161.75
84,7.25,161.75
85,7.25,161.75
86,7.25,161.75
87,7.25,161.75
88,7.25,161.75
89,7.25,161.75
90,7.25,161.75
91,7.25,161.75
92,7.25,161.75
93,7.25,161.75
94,7.25,161.75
95,7.25,161.75
96,7.25,161.75
97,7.25,161.75
98,7.25,161.75
99,7.25,161.75
100,7.25,161.75
